Class,DTWC,DW,IDFP,IDS,ISQLQ,IGS,LT,MIM,SL
com.example.android.architecture.blueprints.todoapp.taskdetail.TaskDetailActivity,0,0,0,0,0,0,0,1,0
com.example.android.architecture.blueprints.todoapp.addedittask.AddEditTaskViewModelTest,0,0,0,0,0,0,0,0,0
com.example.android.architecture.blueprints.todoapp.addedittask.AddEditTaskScreenTest,0,0,0,0,0,0,1,1,0
com.example.android.architecture.blueprints.todoapp.addedittask.AddEditTaskNavigator,0,0,0,0,0,0,0,0,0
com.example.android.architecture.blueprints.todoapp.addedittask.AddEditTaskActivity,0,0,0,0,0,0,0,1,0
com.example.android.architecture.blueprints.todoapp.addedittask.AddEditTaskFragment,0,0,0,0,0,0,1,1,0
com.example.android.architecture.blueprints.todoapp.addedittask.AddEditTaskViewModel,0,0,0,0,0,0,0,0,0
com.example.android.architecture.blueprints.todoapp.data.source.TasksRepositoryTest,0,0,0,0,0,0,0,1,0
com.example.android.architecture.blueprints.todoapp.data.source.TasksRepository,0,0,0,0,0,0,0,1,0
com.example.android.architecture.blueprints.todoapp.data.source.TasksDataSource,0,0,0,0,0,0,0,0,0
com.example.android.architecture.blueprints.todoapp.data.FakeTasksRemoteDataSource,0,0,0,0,0,0,0,1,0
com.example.android.architecture.blueprints.todoapp.data.Task,0,0,0,0,0,0,0,1,0
com.example.android.architecture.blueprints.todoapp.data.source.remote.TasksRemoteDataSource,0,0,0,0,0,0,1,1,0
